Hospital,NAME
Group Chapman,EDWARD W SPARROW HOSPITAL
Group Chavez,EDWARD WHITE HOSPITAL
Group Clark,EDWARDS COUNTY HOSPITAL
Group Cline,EDWIN SHAW REHABILITATION INSTITUTE
Group Cochran,EFFICACY HEALTH SERVICES LLC
Group Cole,EFFINGHAM HOSPITAL
Group Coleman,EIELSON MEDICAL CLINIC
Group Cook,EINSTEIN MEDICAL CENTER MONTGOMERY
Group Cooper,EISENHOWER ARMY MEDICAL CENTER
Group Cross,EISENHOWER MEDICAL CENTER
Group Cruz,EL CAMINO HOSPITAL
Group Curtis,EL CAMINO HOSPITAL LOS GATOS
Group Daniel,EL CAMPO MEMORIAL HOSPITAL
Group Daugherty,EL CENTRO REGIONAL MEDICAL CENTER
Group David,EL PASO BEHAVIORAL HEALTH SYSTEM
Group Davidson,EL PASO CHILDREN'S HOSPITAL
Group Davis,EL PASO LTAC HOSPITAL
Group Dawson,EL PASO PSYCHIATRIC CENTER
Group Dean,EL PASO SPECIALTY HOSPITAL
Group Diaz,EL PASO VA HEALTH CARE SYSTEM
Group Dixon,ELBERT MEMORIAL HOSPITAL
Group Dougherty,ELEANOR SLATER HOSPITAL
Group Doyle,ELECTRA MEMORIAL HOSPITAL
Group Duncan,ELIZA COFFEE MEMORIAL HOSPITAL
Group Dyer,ELIZABETHTOWN COMMUNITY HOSPITAL
Group Edwards,ELKHART GENERAL HOSPITAL
Group Elliott,ELKHORN VALLEY REHABILITATION HOSPITAL LLC
Group Ellis,ELKVIEW GENERAL HOSPITAL
Group Ellison,ELLENVILLE REGIONAL HOSPITAL
Group Evans,ELLETT MEMORIAL HOSPITAL
Group Farley,ELLINWOOD DISTRICT HOSPITAL
Group Farmer,ELLIOT HOSPITAL CITY OF MANCHESTER
Group Ferguson,ELLIS HEALTH CENTER
Group Fernandez,ELLIS HOSPITAL
Group Fields,ELLSWORTH COUNTY MEDICAL CENTER
Group Fisher,ELLSWORTH MUNICIPAL HOSPITAL
Group Fleming,ELLWOOD CITY HOSPITAL
Group Fletcher,ELMENDORF AFB HOSPITAL
Group Flores,ELMHURST HOSPITAL CENTER
Group Ford,ELMHURST MEMORIAL HOSPITAL
Group Foster,ELMIRA PSYCHIATRIC CENTER
Group Frye,ELMORE COMMUNITY HOSPITAL
Group Fuentes,ELY BLOOMENSON COMM HOSPITAL
Group Garcia,EMANUEL MEDICAL CENTER
Group Gardner,"EMANUEL MEDICAL CENTER, INC"
Group Garner,EMERALD COAST BEHAVIORAL HOSPITAL
Group Garrison,EMERSON HOSPITAL
Group Gilbert,EMH REGIONAL MEDICAL CENTER
Group Gomez,EMINENT MEDICAL CENTER
Group Gonzalez,EMMA PENDLETON BRADLEY HOSPITAL
Group Graham,EMORY DUNWOODY MEDICAL CENTER
Group Grant,EMORY JOHNS CREEK HOSPITAL
Group Gray,EMORY REHABILITATION HOSPITAL
Group Green,EMORY UNIV HOSPITAL- EMORY UNIV ORTHO
Group Griffith,EMORY UNIVERSITY HOSPITAL
Group Gutierrez,EMORY UNIVERSITY HOSPITAL MIDTOWN
Group Guzman,EMORY-ADVENTIST HOSPITAL
Group Hall,ENCINO HOSPITAL MEDICAL CENTER
Group Hamilton,ENDLESS MOUNTAINS HEALTH SYSTEMS
Group Hansen,ENGLEWOOD COMMUNITY HOSPITAL
Group Hardy,ENGLEWOOD HOSPITAL AND MEDICAL CENTER
Group Harper,ENLOE MEDICAL CENTER - COHASSET CAMPUS
Group Harris,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS
Group Hawkins,ENLOE REHABILITATION CENTER
Group Hayes,ENNIS REGIONAL MEDICAL CENTER
Group Heath,EPHRAIM MCDOWELL FORT LOGAN HOSPITAL
Group Henderson,EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER
Group Henry,EPHRATA COMMUNITY HOSPITAL
Group Herman,EPIC MEDICAL CENTER
Group Hernandez,ERIE COUNTY MEDICAL CENTER
Group Herrera,ERIE VETERANS AFFAIRS MEDICAL CENTER
Group Herring,ERLANGER BLEDSOE
Group Hickman,ERLANGER EAST CAMPUS
Group Hicks,ERLANGER MEDICAL CENTER
Group Hill,ERLANGER NORTH CAMPUS
Group Holland,ESKENAZI HEALTH
Group Holmes,ESSENTIA HEALTH ADA
Group Hopkins,ESSENTIA HEALTH DULUTH
Group Horn,ESSENTIA HEALTH FOSSTON
Group Howard,ESSENTIA HEALTH NORTHERN PINES
Group Hudson,ESSENTIA HEALTH SANDSTONE
Group Huff,ESSENTIA HEALTH ST JOSEPHS MED
Group Hughes,ESSENTIA HEALTH ST MARYS MED
Group Hunt,ESSENTIA HEALTH VIRGINIA
Group Hurley,ESSENTIA HEALTH-FARGO
Group Hurst,ESSENTIA HLTH HOLY TRINITY HOS
Group Jackson,ESSENTIA HLTH ST MARYS DETROIT
Group Jacobs,ESSEX COUNTY HOSPITAL CENTER
Group James,ESTES PARK MEDICAL CENTER
Group Jennings,EUCLID HOSPITAL
Group Johnson,EUGENE J. TOWBIN VETERAN'S HEALTHCARE CENTER
Group Jones,EUNICE EXTENDED CARE HOSPITAL
Group Jordan,EUREKA COMMUNITY HEALTH SERVICES
Group Keller,EUREKA SPRINGS HOSPITAL
Group Kelley,EVANGELICAL COMMUNITY HOSPITAL
Group Kelly,EVANS ARMY COMMUNITY HOSPITAL
Group Kim,EVANS MEMORIAL HOSPITAL
Group King,EVANSTON HOSPITAL
Group Knight,EVANSTON REGIONAL HOSPITAL
Group Lane,EVANSVILLE PSYCHIATRIC CHILDREN'S CENTER
Group Larson,EVANSVILLE STATE HOSPITAL
Group Lawson,EVERGREEN HEALTH MONROE
Group Le,EVERGREEN HOSPITAL MEDICAL CENTER
Group Lee,EVERGREEN MEDICAL CENTER
Group Lewis,EWING RESIDENTIAL CENTER
Group Lindsey,EXCELA HEALTH FRICK HOSPITAL
Group Little,EXCELA HEALTH LATROBE HOSPITAL
Group Long,EXCELA HEALTH WESTMORELAND HOSP JEANETTE
Group Lopez,EXCELA HEALTH WESTMORELAND HOSPITAL
Group Lowe,EXCELSIOR SPRINGS HOSPITAL
Group Lucero,EXETER HOSPITAL
Group Luna,EXODUS PSYCHIATRIC HEALTH FACILITY FRESNO
Group Lynch,EXODUS RECOVERY PHF
Group Macdonald,EXTENDED CARE OF SOUTHWEST LOUISIANA
Group Mack,F. W. HUSTON MEDICAL CENTER
Group Maldonado,FAIR OAKS PAVILION - PSYCHIATRIC HOSPITAL
Group Mann,FAIRBANKS
Group Martin,FAIRBANKS MEMORIAL HOSPITAL
Group Martinez,FAIRCHILD MEDICAL CENTER
Group Mason,FAIRFAX BEHAVIORAL HEALTH MONROE
Group Massey,FAIRFAX COMMUNITY HOSPITAL
Group Maxwell,FAIRFIELD MEDICAL CENTER
Group Mayer,FAIRFIELD MEMORIAL HOSPITAL
Group Mcdonald,FAIRLAWN REHABILITATION HOSPITAL
Group Mcfarland,FAIRMONT GENERAL HOSPITAL
Group Medina,FAIRMOUNT BEHAVIORAL HEALTH SYSTEMS
Group Melendez,FAIRVIEW DEVELOPMENTAL CENTER
Group Mendoza,FAIRVIEW HOSPITAL
Group Mercer,FAIRVIEW LAKES MEDICAL CENTER
Group Miles,FAIRVIEW NORTHLAND REG HOSP
Group Miller,FAIRVIEW PARK HOSPITAL
Group Mitchell,FAIRVIEW REGIONAL MEDICAL CENTER
Group Montgomery,FAIRVIEW RIDGES HOSPITAL
Group Moody,FAIRVIEW SOUTHDALE HOSPITAL
Group Moore,FAIRWAY MEDICAL SURGICAL HOSPITAL
Group Morales,FAITH COMMUNITY HOSPITAL
Group Moreno,FAITH REGIONAL HEALTH SERVICES
Group Morgan,FAITH REGIONAL HEALTH SERVICES EAST CAMPUS
Group Morris,FALL RIVER HEALTH SERVICES
Group Mullins,FALL RIVER HOSPITAL
Group Murphy,FALLBROOK HOSP DISTRICT SKILLED NURSING FACILITY
Group Myers,FALLBROOK HOSPITAL DISTRICT
Group Navarro,FALLON MEDICAL COMPLEX HOSPITAL
Group Nelson,FALLS COMMUNITY HOSPITAL AND CLINIC
Group Nguyen,FALMOUTH HOSPITAL
Group Nicholson,FANNIN REGIONAL HOSPITAL
Group Nunez,FARGO VA MEDICAL CENTER
Group Obrien,FAULKNER HOSPITAL
Group Ochoa,FAULKTON AREA MEDICAL CENTER
Group Oliver,FAUQUIER HOSPITAL
Group Olson,FAWCETT MEMORIAL HOSPITAL
Group Oneal,FAXTON-ST. LUKE'S HEALTHCARE - FAXTON CAMPUS
Group Ortega,FAXTON-ST. LUKE'S HEALTHCARE - ST. LUKE'S CAMPUS
Group Ortiz,FAYETTE COUNTY HOSPITAL
Group Owens,FAYETTE COUNTY MEMORIAL HOSPITAL
Group Padilla,FAYETTE MEDICAL CENTER
Group Page,FAYETTE REGIONAL HEALTH SYSTEM
Group Park,FEATHER RIVER HOSPITAL
Group Parker,FELICIANA FORENSIC FACILITY
Group Parks,FELICIANA-AMG SPECIALTY HOSPITAL
Group Parsons,FERRELL HOSPITAL COMMUNITY FOUNDATIONS
Group Patterson,FERRY COUNTY MEMORIAL HOSPITAL
Group Pena,FF THOMPSON HOSPITAL
Group Perez,FHN MEMORIAL HOSPITAL
Group Peters,FIELD MEMORIAL COMMUNITY HOSPITAL
Group Peterson,FILLMORE COMMUNITY MEDICAL CENTER
Group Phelps,FILLMORE COUNTY HOSPITAL
Group Phillips,FIRELANDS REG MED CTR SOUTH CAMPUS
Group Poole,FIRELANDS REGIONAL MEDICAL CENTER
Group Potter,FIRST BAPTIST MEDICAL CENTER
Group Powell,FIRST CARE HEALTH CENTER
Group Price,FIRST HOSP PANAMERICANO - CIDRA
Group Ramirez,FIRST HOSPITAL WYOMING VALLEY
Group Ramos,FIRST TEXAS HOSPITAL
Group Randolph,FIRSTHEALTH MONTGOMERY MEMORIAL HOSPITAL
Group Rasmussen,FIRSTHEALTH MOORE REG. HOSP. AND PINEHURST TREATMENT
Group Raymond,FIRSTHEALTH MOORE REGIONAL HOSPITAL - HOKE CAMPUS
Group Reed,FIRSTHEALTH MOORE REGIONAL HOSPITAL HAMLET
Group Reilly,FIRSTHEALTH RICHMOND MEMORIAL HOSPITAL
Group Reyes,FIRSTLIGHT HEALTH SYSTEM
Group Rhodes,FISHER COUNTY HOSPITAL DISTRICT
Group Richardson,FISHER-TITUS HOSPITAL
Group Rivera,FISHERMEN'S HOSPITAL
Group Robbins,FITZGIBBON HOSPITAL
Group Roberts,FIVE RIVER MEDICAL CENTER
Group Robinson,FLAGET MEMORIAL HOSPITAL
Group Rodriguez,FLAGLER HOSPITAL
Group Ross,FLAGSTAFF MEDICAL CENTER
Group Russell,FLAMBEAU HSPTL
Group Salazar,FLEMING COUNTY HOSPITAL
Group Sanchez,FLINT RIVER COMMUNITY HOSPITAL
Group Sanders,FLORALA MEMORIAL HOSPITAL
Group Sandoval,FLORENCE COMMUNITY HEALTHCARE
Group Santana,FLORENCE HOSPITAL AT ANTHEM
Group Santos,FLORIDA HOSPITAL ALTAMONTE
Group Saunders,FLORIDA HOSPITAL APOPKA
Group Schmidt,FLORIDA HOSPITAL AT CONNERTON LONG TERM
Group Schneider,FLORIDA HOSPITAL CARROLLWOOD
Group Schultz,FLORIDA HOSPITAL CELEBRATION HEALTH
Group Schwartz,FLORIDA HOSPITAL DELAND
Group Scott,FLORIDA HOSPITAL EAST ORLANDO
Group Serrano,FLORIDA HOSPITAL FISH MEMORIAL
Group Shaw,FLORIDA HOSPITAL FLAGLER
Group Simmons,FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER
Group Simpson,FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER AT LAKE PLACID
Group Singh,FLORIDA HOSPITAL KISSIMMEE
Group Smith,FLORIDA HOSPITAL MEMORIAL MEDICAL CENTER
Group Snyder,FLORIDA HOSPITAL NEW SMYRNA
Group Soto,FLORIDA HOSPITAL NORTH PINELLAS
Group Stein,FLORIDA HOSPITAL OCEANSIDE
Group Stevenson,FLORIDA HOSPITAL ORLANDO
Group Stewart,FLORIDA HOSPITAL TAMPA
Group Stokes,FLORIDA HOSPITAL WATERMAN
Group Stuart,FLORIDA HOSPITAL WAUCHULA
Group Sullivan,FLORIDA HOSPITAL WESLEY CHAPEL
Group Taylor,FLORIDA HOSPITAL ZEPHYRHILLS
Group Thompson,FLORIDA STATE HOSPITAL
Group Torres,FLOWER HOSPITAL
Group Tran,FLOWERS HOSPITAL
Group Turner,FLOYD COUNTY MEMORIAL HOSPITAL
Group Underwood,FLOYD MEDICAL CENTER
Group Valdez,FLOYD MEMORIAL HOSPITAL AND HEALTH SERVICES
Group Valenzuela,FLOYD VALLEY HOSPITAL
Group Vasquez,FLUSHING HOSPITAL MEDICAL CENTER
Group Velasquez,FOND DU LAC CTY ACUTE PSYCH UNIT
Group Velazquez,FOOTHILL PRESBYTERIAN HOSPITAL-JOHNSTON MEMORIAL
Group Velez,FOOTHILL REGIONAL MEDICAL CENTER
Group Villa,FORBES HOSPITAL
Group Wagner,FOREST HEALTH MEDICAL CENTER
Group Walker,FOREST HILLS HOSPITAL
Group Wallace,FOREST PARK MEDICAL CENTER
Group Ward,FORKS COMMUNITY HOSPITAL
Group Washington,FORREST CITY MEDICAL CENTER
Group Watson,FORREST GENERAL HOSPITAL
Group Weaver,FORT BELKNAP HOSPITAL
Group Webb,FORT BELVOIR COMMUNITY HOSPITAL
Group White,FORT DEFIANCE INDIAN HOSPITAL
Group Williams,FORT DUNCAN REGIONAL MEDICAL CENTER
Group Williamson,FORT HAMILTON HUGHES MEMORIAL HOSPITAL
Group Willis,FORT HEALTHCARE
Group Wilson,FORT LAUDERDALE HOSPITAL
Group Winters,FORT LEONARD WOOD ARMY COMMUNITY HOSPITAL
Group Wood,FORT LOUDOUN MEDICAL CENTER
Group Wright,FORT MADISON COMMUNITY HOSPITAL
Group Yates,FORT SANDERS REGIONAL MEDICAL CENTER
Group Yoder,FORT VALLEY STATE UNIVERSITY HEALTH SYSTEM
Group Young,FORT WALTON BEACH MEDICAL CENTER
Group Zuniga,FORT WASHINGTON HOSPITAL
"Guerra and Escobar Schultz,",FOSTORIA COMMUNITY HOSPITAL
Gutierrez Group,FOUNDATION SURGICAL HOSPITAL OF EL PASO
Gutierrez Inc,FOUNDATION SURGICAL HOSPITAL OF HOUSTON
Gutierrez LLC,FOUNDATION SURGICAL HOSPITAL OF SAN ANTONIO
Gutierrez PLC,FOUNDATIONS BEHAVIORAL HEALTH
Gutierrez and Sons,FOUNTAIN VALLEY RGNL HOSP AND MED CTR - EUCLID
"Gutierrez, and Simpson Brown",FOUNTAIN VALLEY RGNL HOSP AND MED CTR - WARNER
Gutierrez-Bray,FOUR COUNTY COUNSELING CENTER
Gutierrez-Meyer,FOUR WINDS HOSPITAL SARATOGA
Guzman Group,FOUR WINDS HOSPITAL WESTCHESTER
Guzman Inc,FOX ARMY HEALTH CENTER: LAMBERT RHONDA W
Guzman LLC,FRANCES MAHON DEACONESS HOSPITAL
Guzman Ltd,"FRANCISCAN ALLIANCE, INC. - DBA FRANCISCAN ST. JAMES HEALTH-CHICAGO HEIGHTS"
Guzman PLC,FRANCISCAN CHILDREN'S HOSPITAL & REHAB CENTER
"Guzman Smith and Price,",FRANCISCAN HEALTHCARE RENSSLAER
"Guzman, Schneider Price and",FRANCISCAN PHYSICIANS HOSPITAL LLC
Guzman-Stanton,FRANCISCAN ST ANTHONY HEALTH - CROWN POINT
Haas Ltd,FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY
"Haas and Ho Riley,",FRANCISCAN ST ELIZABETH HEALTH - CRAWFORDSVILLE
Hahn Inc,FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE CENTRAL
Hale LLC,FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE EAST
Hale PLC,FRANCISCAN ST FRANCIS HEALTH - CARMEL
"Hale, and Owens Reed",FRANCISCAN ST FRANCIS HEALTH - INDIANAPOLIS
Hale-Anderson,FRANCISCAN ST FRANCIS HEALTH - MOORESVILLE
Hale-Barrett,FRANCISCAN ST JAMES HEALTH
Hale-Franklin,FRANCISCAN ST MARGARET HEALTH - DYER
Haley PLC,FRANCISCAN ST MARGARET HEALTH - HAMMOND
Haley-Franco,FRANK R HOWARD MEMORIAL HOSPITAL
Hall Group,FRANKFORT REGIONAL MEDICAL CENTER
Hall Inc,FRANKLIN COUNTY MEDICAL CENTER
Hall LLC,FRANKLIN COUNTY MEMORIAL HOSPITAL
"Hall Lee Bailey, and",FRANKLIN FOUNDATION HOSPITAL
Hall Ltd,FRANKLIN GENERAL HOSPITAL
Hall PLC,FRANKLIN HOSPITAL
Hall Sons and,FRANKLIN MEDICAL CENTER
"Hall and Flores, Campbell",FRANKLIN MEMORIAL HOSPITAL
"Hall, Dawson Powell and",FRANKLIN REGIONAL HOSPITAL
Hall-Allen,FRANKLIN REGIONAL MEDICAL CENTER
Hall-Brown,FRANKLIN WOODS COMMUNITY HOSPITAL
Hall-Conner,FRAZIER REHAB INSTITUTE
Hall-Flores,FREDERICK MEMORIAL HOSPITAL
Hall-Fritz,FREDONIA REGIONAL HOSPITAL
Hall-Hunt,FREEDOM BEHAVIORAL
Hall-Johnson,FREEMAN HOSPITAL EAST
Hall-Lyons,FREEMAN HOSPITAL WEST
Hall-Medina,FREEMAN NEOSHO HOSPITAL
Hall-Smith,FREEMAN REGIONAL HEALTH SERVICES
Hall-Taylor,FREESTONE MEDICAL CENTER
Hall-Valdez,FREMONT AREA MEDICAL CENTER
Hall-Vasquez,FREMONT HOSPITAL
Hamilton Group,FREMONT MEDICAL CENTER
Hamilton Inc,FRENCH HOSPITAL MEDICAL CENTER
Hamilton PLC,FRESNO HEART AND SURGICAL HOSPITAL
"Hamilton Rollins, and Soto",FRESNO SURGICAL HOSPITAL
"Hamilton and Lee, Russell",FRIENDS HOSPITAL
Hamilton-Bradley,FRIO REGIONAL HOSPITAL
Hamilton-Burns,FRISBIE MEMORIAL HOSPITAL
Hamilton-Davis,FROEDTERT MEM LUTHERAN HSPTL
Hamilton-Maddox,FRYE REGIONAL MEDICAL CENTER
Hamilton-Weber,FULTON COUNTY HEALTH CENTER
Hammond Group,FULTON COUNTY HOSPITAL
"Hammond and Kelley Williams,",FULTON COUNTY MEDICAL CENTER
Hammond and Sons,FULTON MEDICAL CENTER
"Hammond, Downs and Johnston",FULTON STATE HOSPITAL
"Hammond, and King Hebert",G WERBER BRYAN PSYCHIATRIC HOSPITAL
Hammond-Sherman,G.V. (SONNY) MONTGOMERY VA MEDICAL CENTER
Hampton LLC,GADSDEN REGIONAL MEDICAL CENTER
Hancock Group,GALESBURG COTTAGE HOSPITAL
Hancock Ltd,GALION COMMUNITY HOSPITAL
"Hancock Perez Gill, and",GALLUP INDIAN MEDICAL CENTER
Hancock and Sons,GARDEN CITY HOSPITAL
Haney-Nielsen,GARDEN GROVE HOSPITAL AND MEDICAL CENTER
Hanna Group,GARDEN PARK MEDICAL CENTER
Hansen Group,GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER
Hansen Ltd,GARFIELD COUNTY HEALTH CENTER
"Hansen Meyer, and Reed",GARFIELD COUNTY PUBLIC HOSPITAL
Hansen PLC,GARFIELD MEDICAL CENTER
Hansen Sons and,GARFIELD MEMORIAL HOSPITAL
"Hansen and Brown, Patel","GARFIELD PARK HOSPITAL, LLC"
Hansen-Murphy,GARLAND BEHAVIORAL HOSPITAL
Hansen-Peterson,GARRARD COUNTY HOSPITAL
Hansen-Torres,GARRETT COUNTY MEMORIAL HOSPITAL
Hansen-White,GARRISON MEMORIAL HOSPITAL
Hanson Group,GATEWAY REGIONAL MEDICAL CENTER
"Hanson Harris Long, and",GATEWAY REHABILITATION HOSPITAL AT FLORENCE
Hanson Ltd,GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER
"Hanson, Johnson Gilbert and",GAYLORD HOSPITAL
Hardin Inc,GEARY COMMUNITY HOSPITAL
Harding-Sullivan,GEISINGER -LEWISTOWN HOSPITAL
Hardy Group,GEISINGER COMMUNITY MEDICAL CENTER
"Hardy Miller, Ward and",GEISINGER HEALTHSOUTH REHABILITATION HOSPITAL
Hardy-Jones,GEISINGER JERSEY SHORE HOSPITAL
Harmon Group,GEISINGER MEDICAL CENTER
Harmon and Sons,GEISINGER SHAMOKIN AREA COMMUNITY HOSPITAL
Harper Inc,GEISINGER WYOMING VALLEY MEDICAL CENTER
Harper LLC,GEISINGER-BLOOMSBURG HOSPITAL
Harper Ltd,"GENERAL HOSPITAL, THE"
"Harper Miller and Hernandez,",GENERAL JOHN J. PERSHING MEMORIAL HOSPITAL
Harper PLC,"GENERATIONS BEHAVIORAL HEALTH - GENEVA, LLC"
Harrell Sons and,GENESIS BEHAVIORAL HOSPITAL
"Harrell Turner, and Beard",GENESIS HOSPITAL
"Harrington Carney and Brown,",GENESIS MEDICAL CENTER ALEDO
"Harrington and Williams, Mercado",GENESIS MEDICAL CENTER ILLINI CAMPUS
"Harrington, and Owens Preston",GENESIS MEDICAL CENTER WEST-DAVENPORT
Harrington-Stevens,GENESIS MEDICAL CENTER-DAVENPORT
Harris Group,GENESIS MEDICAL CENTER-DEWITT
"Harris Hull, and Harding",GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK
Harris Inc,GENEVA GENERAL HOSPITAL
Harris LLC,GENOA COMMUNITY HOSPITAL
Harris Ltd,GEORGE C GRAPE COMMUNITY HOSPITAL
Harris PLC,GEORGE E WEEMS MEMORIAL HOSPITAL
"Harris Patel, and Collins",GEORGE E. WAHLEN DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER
"Harris Wilson, Jacobson and","GEORGE H. O'BRIEN, JR. VA MEDICAL CENTER"
"Harris and Burns Sanders,",GEORGE L MEE MEMORIAL HOSPITAL
"Harris and Gibson Reynolds,",GEORGE REGIONAL HOSPITAL
Harris and Sons,GEORGE WASHINGTON UNIVERSITY HOSPITAL
Harris-Alexander,GEORGETOWN BEHAVIORAL HEALTH INSTITUE
Harris-Ayers,GEORGETOWN COMMUNITY HOSPITAL
Harris-Bailey,GEORGIA REGIONAL HOSPITAL
Harris-Gonzalez,GEORGIA REGIONAL HOSPITAL AT ATLANTA
Harris-Jackson,GEORGIANA MEDICAL CENTER
Harris-Jones,GERALD CHAMPION REGIONAL MEDICAL CENTER
Harris-Lee,GETTYSBURG HOSPITAL
Harris-Miller,GHS GREENVILLE MEMORIAL HOSPITAL
Harris-Ortiz,GHS GREER MEMORIAL HOSPITAL
Harris-Smith,GHS HILLCREST MEMORIAL HOSPITAL
Harris-Turner,GHS LAURENS COUNTY HOSPITAL
Harris-West,GHS NORTH GREENVILLE LONG TERM ACUTE CARE HOSPITAL
Harris-Wilkerson,GHS OCONEE MEMORIAL HOSPITAL
"Harrison Foster and Daniel,",GHS PATEWOOD MEMORIAL HOSPITAL
Harrison Group,GIBSON COMMUNITY HOSPITAL
Harrison PLC,GIBSON GENERAL HOSPITAL
"Harrison Taylor, Washington and",GIFFORD MEDICAL CENTER
Harrison-Allen,GILA REGIONAL MEDICAL CENTER
Harrison-Moore,GILA RIVER HEALTH CARE CORPORATION
Harrison-Parker,GILBERT HOSPITAL
Hart Group,GILLETTE CHILDRENS SPEC HOSP
Hart Inc,GILLIAM PSYCHIATRIC HOSPITAL
Hart LLC,GIRARD MEDICAL CENTER
Hart Ltd,GLACIAL RIDGE HOSPITAL
Hart PLC,GLADYS SPELLMAN SPECIALTY HOSPITAL AND NURSING CARE CENTER
Hart-Brock,GLEN COVE HOSPITAL
"Hartman and Larsen, Campos",GLEN OAKS HOSPITAL
Hartman-Dunn,GLEN ROSE MEDICAL CENTER
Hartman-Wright,GLENBEIGH
Harvey Group,GLENBROOK HOSPITAL
Harvey LLC,GLENCOE REGIONAL HEALTH SRVCS
Harvey Ltd,GLENDALE ADVENTIST MEDICAL CENTER - WILSON TERRACE
Harvey PLC,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER
"Harvey and Allen, Thompson",GLENDIVE MEDICAL CENTER
Harvey-Brown,GLENDORA COMMUNITY HOSPITAL
Harvey-Strong,GLENN MEDICAL CENTER
Hatfield Inc,GLENS FALLS HOSPITAL
Hatfield-Miller,GLENWOOD REGIONAL MEDICAL CENTER
Hatfield-Simon,GLENWOOD STATE HOSPITAL SCHOOL
"Hawkins Bailey Hamilton, and",GOLDEN PLAINS COMMUNITY HOSPITAL
Hawkins Inc,GOLDEN VALLEY MEMORIAL HOSPITAL
Hawkins LLC,GOLDWATER SPECIALTY HOSPITAL
Hawkins Ltd,GOLETA VALLEY COTTAGE HOSPITAL
Hawkins PLC,GOOD HANDS MEDICAL
Hawkins-Smith,GOOD HOPE HOSPITAL
"Hayes Calhoun and Smith,",GOOD SAMARITAN HLTH CTR
"Hayes Hurst, King and",GOOD SAMARITAN HOSPITAL
Hayes Inc,GOOD SAMARITAN HOSPITAL - SUFFERN
Hayes LLC,GOOD SAMARITAN HOSPITAL - WEST ISLIP
"Hayes Lane Flores, and","GOOD SAMARITAN HOSPITAL, THE"
Hayes Ltd,GOOD SAMARITAN HOSPITAL-BAKERSFIELD
"Hayes Robbins and Gallagher,",GOOD SAMARITAN HOSPITAL-LOS ANGELES
"Hayes and Wilson, Thompson",GOOD SAMARITAN HOSPITAL-SAN JOSE
Hayes-Dalton,GOOD SAMARITAN MEDICAL CENTER
Hayes-Hart,GOOD SAMARITAN MEDICAL CENTER LLC
Hayes-Ibarra,GOOD SAMARITAN REGIONAL HEALTH CENTER
Hayes-Ramos,GOOD SAMARITAN REGIONAL HLTH CENTER
Hayes-Rhodes,GOOD SAMARITAN REGIONAL MEDICAL CENTER
Hayes-Smith,GOOD SHEPHERD MEDICAL CENTER
Hayes-Wilson,GOOD SHEPHERD MEDICAL CENTER - LINDEN
Haynes Inc,GOOD SHEPHERD MEDICAL CENTER - MARSHALL
Haynes PLC,GOOD SHEPHERD PENN PARTNERS SPECIALTY HOSPITAL AT RITTENHOUSE
Hays LLC,GOOD SHEPHERD REHABILITATION HOSPITAL
"Hays, Cohen Wilson and",GOOD SHEPHERD SPECIALTY HOSPITAL
Hays-Peters,GOODALL-WITCHER HOSPITAL
Heath PLC,GOODLAND REGIONAL MEDICAL CENTER
"Heath and Hart Pearson,",GORDON HOSPITAL
Heath-Krause,GORDON MEMORIAL HOSPITAL DISTRICT
Hebert Inc,GORYEB CHILDRENS CENTER
Hebert Ltd,GOTHENBURG MEMORIAL HOSPITAL
"Henderson Carpenter and Barrett,",GOTTSCHE REHABILITATION CENTER
Henderson Group,GOV JUAN F LUIS HOSPITAL & MEDICAL CTR
Henderson Inc,GOVE COUNTY MEDICAL CENTER
Henderson LLC,GRACE COTTAGE HOSPITAL
Henderson Ltd,GRACE HOSPITAL
Henderson PLC,GRACE HOSPITAL AT FAIRVIEW
"Henderson Ramirez, and Smith",GRACE HOSPITAL SOUTH POINTE
"Henderson and Bernard, Gibson",GRACE MEDICAL CENTER
Henderson and Sons,GRACIE SQUARE HOSPITAL
Henderson-Aguilar,GRADY GENERAL HOSPITAL
Henderson-Johnson,GRADY MEMORIAL HOSPITAL
Henderson-Nixon,GRAFTON CITY HOSPITAL
Hendricks Ltd,GRAHAM COUNTY HOSPITAL
Hendricks-Smith,GRAHAM HOSPITAL ASSOCIATION
Hendrix Inc,GRAHAM REGIONAL MEDICAL CENTER
Hendrix-Hobbs,GRAND ITASCA CLINIC & HOSP
"Henry Garcia and Harris,",GRAND RIVER MEDICAL CENTER
Henry Inc,GRAND STRAND REGIONAL MEDICAL CENTER
Henry LLC,GRAND VIEW HOSPITAL
Henry Ltd,GRANDE RONDE HOSPITAL
Henry PLC,GRANDVIEW HOSPITAL & MEDICAL CENTER
Henry Sons and,GRANDVIEW MEDICAL CENTER
